acdc_name,2d:dil0,3d:dil0,2d:dil1,3d:dil1,2d:dil2,3d:dil2,2d:dil3,3d:dil3
patient061_frame10,0,0,0,1,0,1,0,1
patient062_frame09,0,0,0,1,0,1,0,1
patient063_frame16,0,0,0,1,0,1,0,1
patient064_frame12,0,0,0,1,0,1,0,1
patient065_frame14,0,0,0,0,0,1,0,1
patient066_frame11,0,0,0,1,0,1,0,1
patient067_frame10,0,0,0,1,0,1,0,1
patient068_frame12,0,0,1,1,1,1,0,1
patient069_frame12,0,0,0,1,0,1,0,1
patient070_frame10,0,0,0,1,0,1,0,1
patient071_frame09,0,0,0,1,0,1,0,0
patient072_frame11,0,0,0,1,0,1,0,1
patient073_frame10,0,0,0,1,0,1,0,1
patient074_frame12,0,0,0,1,0,1,0,1
patient075_frame06,0,0,0,1,0,1,0,1
patient076_frame12,0,0,0,1,0,1,0,1
patient077_frame09,0,0,0,1,0,1,0,1
patient078_frame09,0,0,0,1,0,0,0,1
patient079_frame11,0,0,0,1,0,1,0,1
patient080_frame10,0,0,0,1,0,1,0,1
patient081_frame07,0,0,0,0,0,0,0,0
patient082_frame07,0,1,0,1,0,1,0,1
patient083_frame08,0,0,0,1,0,1,0,1
patient084_frame10,0,0,0,1,0,0,0,1
patient085_frame09,0,0,0,0,0,1,0,1
patient086_frame08,0,0,0,0,0,0,0,1
patient087_frame10,1,0,1,1,1,0,1,1
patient088_frame12,0,0,0,0,0,1,0,0
patient089_frame10,0,0,0,1,0,1,0,1
patient090_frame11,0,0,0,0,0,0,0,1
patient091_frame09,0,0,0,0,0,0,0,1
patient092_frame06,0,0,0,0,0,1,0,0
patient093_frame14,0,0,0,0,0,1,0,0
patient094_frame07,1,0,1,1,0,1,0,1
patient095_frame12,0,0,0,0,0,1,0,1
patient096_frame08,0,0,0,0,0,0,0,1
patient097_frame11,0,0,0,1,0,1,0,1
patient098_frame09,0,1,0,1,0,1,0,1
patient099_frame09,0,0,0,0,0,1,0,0
patient100_frame13,0,0,0,1,0,1,0,1
patient101_frame14,0,0,0,0,0,1,0,1
patient102_frame13,0,0,0,1,0,1,0,1
patient103_frame11,0,0,0,1,0,0,0,1
patient104_frame11,0,0,0,1,0,1,0,1
patient105_frame10,0,0,0,0,0,1,0,0
patient106_frame13,1,0,1,0,1,0,1,1
patient107_frame10,0,0,0,1,0,1,0,0
patient108_frame09,0,0,0,0,0,1,0,1
patient109_frame10,0,0,0,0,0,1,0,1
patient110_frame11,0,0,0,1,0,1,0,1
patient111_frame07,0,1,0,1,0,1,0,1
patient112_frame12,0,0,0,0,0,1,0,1
patient113_frame08,0,0,0,0,0,0,0,1
patient114_frame11,0,0,0,1,0,1,0,1
patient115_frame13,0,0,0,0,0,0,0,1
patient116_frame09,0,0,0,1,0,1,0,0
patient117_frame13,0,0,0,0,0,0,0,1
patient118_frame10,0,0,0,0,0,0,0,0
patient119_frame09,0,0,0,0,0,1,0,1
patient120_frame08,0,0,0,1,0,1,0,1
patient121_frame10,0,0,0,1,0,1,0,1
patient122_frame06,0,0,0,1,0,1,0,1
patient123_frame11,0,0,0,1,0,1,0,1
patient124_frame07,0,0,0,0,0,1,0,0
patient125_frame07,0,0,0,0,0,1,0,1
patient126_frame07,0,0,0,0,0,1,0,0
patient127_frame07,0,0,0,0,0,0,0,1
patient128_frame11,0,0,0,1,0,1,0,1
patient129_frame08,0,0,0,0,0,0,0,0
patient130_frame11,0,0,0,1,0,1,0,1
patient131_frame09,1,0,1,1,1,1,0,1
patient132_frame15,1,0,1,0,0,0,0,1
patient133_frame10,0,0,0,0,0,1,0,1
patient134_frame15,0,0,0,0,0,0,0,1
patient135_frame10,0,0,0,0,0,1,0,1
patient136_frame12,0,0,0,1,0,1,0,1
patient137_frame11,0,0,0,0,0,1,0,1
patient138_frame10,0,1,0,1,0,1,0,1
patient139_frame08,0,0,0,0,0,1,0,1
patient140_frame09,0,0,0,0,0,0,0,0
patient141_frame11,0,0,0,0,0,1,0,1
patient142_frame12,0,0,0,0,0,0,0,0
patient143_frame12,0,0,0,0,0,0,0,1
patient144_frame09,0,0,0,1,0,1,0,1
patient145_frame13,0,0,0,0,0,1,0,1
patient146_frame10,0,0,0,1,0,1,0,1
patient147_frame09,0,0,0,1,0,1,0,1
patient148_frame10,0,0,0,0,0,1,0,1
patient149_frame12,0,0,0,0,0,1,0,1
patient150_frame12,0,0,0,1,0,1,0,1
