brats_name,ED,TC,ET,WT
BraTS-GLI-01257-000_AUCseg_cc.nii.gz,0.3869,0.7875,0.6548,0.4249
BraTS-GLI-01257-000_AUCseg_t2.nii.gz,0.1948,0.0641,0.6548,0.4249
BraTS-GLI-00401-000_AUCseg_cc.nii.gz,0.5786,0.0071,0.736,0.8788
BraTS-GLI-00401-000_AUCseg_t2.nii.gz,0.6095,0.7712,0.736,0.8789
BraTS-GLI-00622-000_AUCseg_cc.nii.gz,0.2161,0.7396,0.5385,0.254
BraTS-GLI-00622-000_AUCseg_t2.nii.gz,0.0385,0.0114,0.5385,0.254
BraTS-GLI-01333-000_AUCseg_cc.nii.gz,0.0176,0,0.0055,0.0529
BraTS-GLI-01333-000_AUCseg_t2.nii.gz,0.0026,0,0.0055,0.0529
BraTS-GLI-00126-000_AUCseg_cc.nii.gz,0.001,0.0025,0.2785,0.2738
BraTS-GLI-00126-000_AUCseg_t2.nii.gz,0.0012,0.7039,0.2785,0.2738
BraTS-GLI-00756-001_AUCseg_cc.nii.gz,0.6131,0.0106,0.7178,0.8935
BraTS-GLI-00756-001_AUCseg_t2.nii.gz,0.7216,0.8418,0.7178,0.8933
BraTS-GLI-00344-000_AUCseg_cc.nii.gz,0.6261,0.4616,0.7438,0.8279
BraTS-GLI-00344-000_AUCseg_t2.nii.gz,0.6671,0.8345,0.7438,0.8279
BraTS-GLI-01307-000_AUCseg_cc.nii.gz,0.8665,0,0.8653,0.9292
BraTS-GLI-01307-000_AUCseg_t2.nii.gz,0.495,0.1741,0.8653,0.9292
BraTS-GLI-01610-000_AUCseg_cc.nii.gz,0.052,0,0.0035,0.1602
BraTS-GLI-01610-000_AUCseg_t2.nii.gz,0.0567,0,0.0035,0.1607
BraTS-GLI-01232-000_AUCseg_cc.nii.gz,0.6178,0.0015,0.3312,0.6041
BraTS-GLI-01232-000_AUCseg_t2.nii.gz,0.6274,0.0278,0.3312,0.6043
BraTS-GLI-01159-000_AUCseg_cc.nii.gz,0.2409,0,0,0.3894
BraTS-GLI-01159-000_AUCseg_t2.nii.gz,0.2174,0,0,0.3911
BraTS-GLI-00838-000_AUCseg_cc.nii.gz,0.5299,0.0173,0.6362,0.6376
BraTS-GLI-00838-000_AUCseg_t2.nii.gz,0.4344,0.3061,0.6362,0.6376
BraTS-GLI-01045-000_AUCseg_cc.nii.gz,0.8289,0.9271,0.9038,0.8898
BraTS-GLI-01045-000_AUCseg_t2.nii.gz,0.4374,0.2992,0.9038,0.8897
BraTS-GLI-00059-001_AUCseg_cc.nii.gz,0.2752,0.8408,0.6842,0.4179
BraTS-GLI-00059-001_AUCseg_t2.nii.gz,0.2918,0.128,0.6842,0.4179
BraTS-GLI-00469-000_AUCseg_cc.nii.gz,0.3348,0,0.4986,0.3808
BraTS-GLI-00469-000_AUCseg_t2.nii.gz,0.3583,0.0703,0.4986,0.3808
BraTS-GLI-00550-001_AUCseg_cc.nii.gz,0.6136,0.1205,0.7259,0.8235
BraTS-GLI-00550-001_AUCseg_t2.nii.gz,0.5094,0.3553,0.7259,0.8235
BraTS-GLI-00616-000_AUCseg_cc.nii.gz,0.5514,0,0.6777,0.6011
BraTS-GLI-00616-000_AUCseg_t2.nii.gz,0.1622,0.1222,0.6777,0.6011
BraTS-GLI-00657-000_AUCseg_cc.nii.gz,0.3736,0.0021,0.2316,0.3468
BraTS-GLI-00657-000_AUCseg_t2.nii.gz,0.11,0.0293,0.2316,0.3468
BraTS-GLI-00733-000_AUCseg_cc.nii.gz,0.288,0.0069,0.6112,0.4336
BraTS-GLI-00733-000_AUCseg_t2.nii.gz,0.1586,0.2248,0.6112,0.4336
BraTS-GLI-00316-000_AUCseg_cc.nii.gz,0.6574,0.0233,0.8432,0.8191
BraTS-GLI-00316-000_AUCseg_t2.nii.gz,0.7169,0.2201,0.8432,0.8191
BraTS-GLI-01454-000_AUCseg_cc.nii.gz,0.2622,0,0.6922,0.5241
BraTS-GLI-01454-000_AUCseg_t2.nii.gz,0.2574,0.0551,0.6922,0.5241
BraTS-GLI-01109-000_AUCseg_cc.nii.gz,0.5969,0.0205,0.6125,0.8689
BraTS-GLI-01109-000_AUCseg_t2.nii.gz,0.637,0.6544,0.6125,0.8689
BraTS-GLI-01474-000_AUCseg_cc.nii.gz,0.4276,0,0.5721,0.8144
BraTS-GLI-01474-000_AUCseg_t2.nii.gz,0.3981,0.2493,0.5721,0.8144
BraTS-GLI-00602-000_AUCseg_cc.nii.gz,0.0878,0.1525,0.6104,0.1641
BraTS-GLI-00602-000_AUCseg_t2.nii.gz,0.0949,0.0004,0.6104,0.1629
BraTS-GLI-00811-000_AUCseg_cc.nii.gz,0.7299,0.0001,0.6872,0.9194
BraTS-GLI-00811-000_AUCseg_t2.nii.gz,0.7415,0.4805,0.6872,0.9194
BraTS-GLI-00231-000_AUCseg_cc.nii.gz,0.7457,0.1226,0.6453,0.8513
BraTS-GLI-00231-000_AUCseg_t2.nii.gz,0.728,0.5678,0.6453,0.8513
BraTS-GLI-00800-000_AUCseg_cc.nii.gz,0.6992,0.0082,0.5495,0.9229
BraTS-GLI-00800-000_AUCseg_t2.nii.gz,0.7968,0.5038,0.5495,0.9229
BraTS-GLI-01439-000_AUCseg_cc.nii.gz,0.0718,0,0,0.0873
BraTS-GLI-01439-000_AUCseg_t2.nii.gz,0.0763,0.0599,0,0.0874
BraTS-GLI-01044-000_AUCseg_cc.nii.gz,0.7172,0.1745,0.809,0.7871
BraTS-GLI-01044-000_AUCseg_t2.nii.gz,0.1612,0.1181,0.809,0.7866
BraTS-GLI-01336-000_AUCseg_cc.nii.gz,0.7675,0.0612,0.6319,0.9273
BraTS-GLI-01336-000_AUCseg_t2.nii.gz,0.6789,0.4575,0.6319,0.9273
BraTS-GLI-00329-000_AUCseg_cc.nii.gz,0.7069,0.2756,0.8848,0.8347
BraTS-GLI-00329-000_AUCseg_t2.nii.gz,0.5939,0.386,0.8848,0.8347
BraTS-GLI-00386-000_AUCseg_cc.nii.gz,0.768,0,0.8589,0.8148
BraTS-GLI-00386-000_AUCseg_t2.nii.gz,0.786,0.4525,0.8589,0.8148
BraTS-GLI-01662-000_AUCseg_cc.nii.gz,0.0002,0.7455,0.4711,0.8316
BraTS-GLI-01662-000_AUCseg_t2.nii.gz,0.0002,0.7821,0.4711,0.8324
BraTS-GLI-00772-001_AUCseg_cc.nii.gz,0.7978,0,0.7026,0.8972
BraTS-GLI-00772-001_AUCseg_t2.nii.gz,0.7927,0.4608,0.7026,0.8972
BraTS-GLI-00291-000_AUCseg_cc.nii.gz,0.7577,0.7538,0.6746,0.8189
BraTS-GLI-00291-000_AUCseg_t2.nii.gz,0.5747,0.0367,0.6746,0.8189
BraTS-GLI-00449-000_AUCseg_cc.nii.gz,0.0031,0.0009,0.1072,0.1118
BraTS-GLI-00449-000_AUCseg_t2.nii.gz,0.0032,0.4134,0.1072,0.1118
BraTS-GLI-01158-000_AUCseg_cc.nii.gz,0.8083,0.0324,0.5599,0.9116
BraTS-GLI-01158-000_AUCseg_t2.nii.gz,0.7061,0.0848,0.5599,0.9116
BraTS-GLI-01149-000_AUCseg_cc.nii.gz,0.1342,0,0.0125,0.3432
BraTS-GLI-01149-000_AUCseg_t2.nii.gz,0.1713,0,0.0125,0.3437
BraTS-GLI-00369-000_AUCseg_cc.nii.gz,0.9149,0.891,0.542,0.9178
BraTS-GLI-00369-000_AUCseg_t2.nii.gz,0.4039,0.0604,0.542,0.9178
BraTS-GLI-00049-000_AUCseg_cc.nii.gz,0.9159,0,0.5227,0.8855
BraTS-GLI-00049-000_AUCseg_t2.nii.gz,0.7478,0.0122,0.5227,0.8853
BraTS-GLI-00576-000_AUCseg_cc.nii.gz,0.8363,0.0104,0.4343,0.8533
BraTS-GLI-00576-000_AUCseg_t2.nii.gz,0.3141,0.0682,0.4343,0.8532
BraTS-GLI-00241-000_AUCseg_cc.nii.gz,0.8798,0.2623,0.7767,0.8819
BraTS-GLI-00241-000_AUCseg_t2.nii.gz,0.4341,0.0103,0.7767,0.8819
BraTS-GLI-00692-001_AUCseg_cc.nii.gz,0.2692,0.0981,0.5987,0.3122
BraTS-GLI-00692-001_AUCseg_t2.nii.gz,0.2574,0.0531,0.5987,0.3122
BraTS-GLI-01491-000_AUCseg_cc.nii.gz,0.0074,0.0404,0,0.1455
BraTS-GLI-01491-000_AUCseg_t2.nii.gz,0.0115,0.3048,0,0.1459
BraTS-GLI-01450-000_AUCseg_cc.nii.gz,0.1899,0.0092,0.0041,0.4211
BraTS-GLI-01450-000_AUCseg_t2.nii.gz,0.0772,0.0546,0.0041,0.4221
BraTS-GLI-01470-000_AUCseg_cc.nii.gz,0.6191,0.1457,0.5776,0.6833
BraTS-GLI-01470-000_AUCseg_t2.nii.gz,0.6197,0.3624,0.5776,0.6833
BraTS-GLI-00230-000_AUCseg_cc.nii.gz,0,0,0.3007,0.367
BraTS-GLI-00230-000_AUCseg_t2.nii.gz,0,0.6639,0.3007,0.367
BraTS-GLI-00212-000_AUCseg_cc.nii.gz,0.5905,0,0.3787,0.5947
BraTS-GLI-00212-000_AUCseg_t2.nii.gz,0.6292,0.0235,0.3787,0.5947
BraTS-GLI-00801-000_AUCseg_cc.nii.gz,0.7623,0,0.595,0.9483
BraTS-GLI-00801-000_AUCseg_t2.nii.gz,0.6439,0.3097,0.595,0.9483
BraTS-GLI-01447-000_AUCseg_cc.nii.gz,0.7219,0.4058,0.7362,0.8905
BraTS-GLI-01447-000_AUCseg_t2.nii.gz,0.4203,0.1537,0.7362,0.8905
BraTS-GLI-00619-001_AUCseg_cc.nii.gz,0.0603,0,0.6243,0.1065
BraTS-GLI-00619-001_AUCseg_t2.nii.gz,0.0488,0.0024,0.6243,0.1065
BraTS-GLI-00519-000_AUCseg_cc.nii.gz,0.2227,0.2397,0.5267,0.2751
BraTS-GLI-00519-000_AUCseg_t2.nii.gz,0.1783,0.0318,0.5267,0.2738
BraTS-GLI-01428-000_AUCseg_cc.nii.gz,0.1674,0.0029,0.0268,0.2954
BraTS-GLI-01428-000_AUCseg_t2.nii.gz,0.1155,0.0313,0.0268,0.2955
BraTS-GLI-00045-001_AUCseg_cc.nii.gz,0.233,0.1341,0.813,0.3216
BraTS-GLI-00045-001_AUCseg_t2.nii.gz,0.246,0.0771,0.813,0.3216
BraTS-GLI-00668-000_AUCseg_cc.nii.gz,0.7338,0,0.0059,0.8521
BraTS-GLI-00668-000_AUCseg_t2.nii.gz,0.6892,0,0.0059,0.852
BraTS-GLI-00139-000_AUCseg_cc.nii.gz,0.7309,0.0306,0.7892,0.8672
BraTS-GLI-00139-000_AUCseg_t2.nii.gz,0.7163,0.2229,0.7892,0.8672
BraTS-GLI-00517-000_AUCseg_cc.nii.gz,0.8931,0,0.3723,0.8692
BraTS-GLI-00517-000_AUCseg_t2.nii.gz,0.4789,0,0.3723,0.869
BraTS-GLI-01233-000_AUCseg_cc.nii.gz,0.7104,0.0747,0.6907,0.8521
BraTS-GLI-01233-000_AUCseg_t2.nii.gz,0.4159,0.227,0.6907,0.8521
BraTS-GLI-01067-000_AUCseg_cc.nii.gz,0.7998,0.5887,0.9097,0.82
BraTS-GLI-01067-000_AUCseg_t2.nii.gz,0.3408,0.0187,0.9097,0.82
BraTS-GLI-00542-000_AUCseg_cc.nii.gz,0.1244,0.059,0.432,0.1969
BraTS-GLI-00542-000_AUCseg_t2.nii.gz,0.1266,0.0217,0.432,0.1966
BraTS-GLI-00828-000_AUCseg_cc.nii.gz,0.7581,0.1112,0.8468,0.8829
BraTS-GLI-00828-000_AUCseg_t2.nii.gz,0.7519,0.0487,0.8468,0.883
BraTS-GLI-01425-000_AUCseg_cc.nii.gz,0.8117,0.2042,0.8852,0.8734
BraTS-GLI-01425-000_AUCseg_t2.nii.gz,0.4357,0.1074,0.8852,0.8706
BraTS-GLI-01362-000_AUCseg_cc.nii.gz,0.81,0.8444,0.882,0.8991
BraTS-GLI-01362-000_AUCseg_t2.nii.gz,0.5308,0.1257,0.882,0.8833
BraTS-GLI-01174-000_AUCseg_cc.nii.gz,0.2753,0.0062,0.3708,0.6766
BraTS-GLI-01174-000_AUCseg_t2.nii.gz,0.3011,0.0822,0.3708,0.6756
BraTS-GLI-01037-000_AUCseg_cc.nii.gz,0.7679,0.0285,0.7886,0.8888
BraTS-GLI-01037-000_AUCseg_t2.nii.gz,0.4234,0.3222,0.7886,0.8888
BraTS-GLI-01205-000_AUCseg_cc.nii.gz,0.0851,0.3886,0.6539,0.3439
BraTS-GLI-01205-000_AUCseg_t2.nii.gz,0.089,0.0129,0.6539,0.3439
BraTS-GLI-01418-000_AUCseg_cc.nii.gz,0.858,0.747,0.8321,0.9174
BraTS-GLI-01418-000_AUCseg_t2.nii.gz,0.5148,0.0735,0.8321,0.9157
BraTS-GLI-00558-001_AUCseg_cc.nii.gz,0.8267,0.0048,0.7353,0.8574
BraTS-GLI-00558-001_AUCseg_t2.nii.gz,0.4259,0.1088,0.7353,0.8574
BraTS-GLI-00274-000_AUCseg_cc.nii.gz,0.5323,0.7903,0.7285,0.6447
BraTS-GLI-00274-000_AUCseg_t2.nii.gz,0.4095,0.3458,0.7285,0.6448
BraTS-GLI-00799-000_AUCseg_cc.nii.gz,0.7171,0.0555,0.835,0.8851
BraTS-GLI-00799-000_AUCseg_t2.nii.gz,0.5344,0.3853,0.835,0.885
BraTS-GLI-01242-000_AUCseg_cc.nii.gz,0.47,0.789,0.7769,0.7745
BraTS-GLI-01242-000_AUCseg_t2.nii.gz,0.4372,0.5961,0.7769,0.7745
BraTS-GLI-01394-000_AUCseg_cc.nii.gz,0.7957,0.1388,0.7203,0.812
BraTS-GLI-01394-000_AUCseg_t2.nii.gz,0.6998,0.0523,0.7203,0.812
BraTS-GLI-00680-000_AUCseg_cc.nii.gz,0.1728,0.0468,0.2693,0.2026
BraTS-GLI-00680-000_AUCseg_t2.nii.gz,0.2062,0.0011,0.2693,0.2029
BraTS-GLI-01270-000_AUCseg_cc.nii.gz,0.0305,0,0.3857,0.4785
BraTS-GLI-01270-000_AUCseg_t2.nii.gz,0.019,0.657,0.3857,0.4785
