,TC,ED,ET,WT,brats_name
BraTS2021_01510,0.01359621189045496,0.3087422974001424,0.0,0.6725184335917367,BraTS2021_01510
BraTS2021_01164,0.44236542623752007,0.29624009000758783,0.5154615618970245,0.9048962860732898,BraTS2021_01164
BraTS2021_00186,0.0848604454468565,0.36781678469187884,0.307574329397856,0.879171383291827,BraTS2021_00186
BraTS2021_00301,0.9078323291885656,0.7780605307121489,0.8734889729629971,0.8830749468201076,BraTS2021_00301
BraTS2021_00413,0.8038822660618209,0.8881961960056473,0.9201179177451826,0.9440396675540957,BraTS2021_00413
BraTS2021_00327,0.0,0.12586716623247374,0.3210333064243119,0.8974235701890542,BraTS2021_00327
BraTS2021_00292,0.0,0.2743863903112223,0.11933492353023713,0.5439899870367887,BraTS2021_00292
BraTS2021_00443,0.0,0.25345523565108136,0.10226911403381991,0.6459887483333875,BraTS2021_00443
BraTS2021_00099,0.6015330053769592,0.12808484171243636,0.2135979187548568,0.7386021259458868,BraTS2021_00099
BraTS2021_00187,0.7901704088349302,0.8803345413994982,0.6503251292749507,0.9101701643706279,BraTS2021_00187
BraTS2021_00294,0.3183058979237323,0.0635187758057257,0.14918274821328245,0.8957681033152731,BraTS2021_00294
BraTS2021_00809,0.0,0.07027781139912216,0.39718422609724685,0.8574115785868973,BraTS2021_00809
BraTS2021_00510,0.6226855453555313,0.3095691682989437,0.2722277050062803,0.563081806872292,BraTS2021_00510
BraTS2021_01125,0.13696689179615548,0.07079145239897293,0.3663608962779206,0.830953362913427,BraTS2021_01125
BraTS2021_00658,0.0,0.0,0.0,0.0,BraTS2021_00658
BraTS2021_01633,0.9461917741095764,0.5299303678373912,0.8116157205240174,0.7542616273355683,BraTS2021_01633
BraTS2021_00207,0.22008521718546573,0.8489096881431059,0.5865979750277271,0.8778245563509176,BraTS2021_00207
BraTS2021_01151,0.0,0.14886937302736777,0.007328863246530485,0.39876255211051514,BraTS2021_01151
BraTS2021_01262,0.33379600420609884,0.3867395256525793,0.2475589874052708,0.8491468577607536,BraTS2021_01262
BraTS2021_00781,0.6886079087641006,0.6182677421983215,0.7302024942027133,0.7836769898007482,BraTS2021_00781
BraTS2021_00074,0.7039790996784566,0.9082920011848972,0.7848216185545074,0.9548984628780961,BraTS2021_00074
BraTS2021_00511,0.779869570567245,0.33485777465071864,0.34191971797131643,0.702983983729503,BraTS2021_00511
BraTS2021_00280,0.796711509715994,0.5659348152188736,0.7980922098569158,0.7343157605805356,BraTS2021_00280
BraTS2021_00425,0.0,0.22472279260780287,0.14166760860555366,0.6444908417955775,BraTS2021_00425
BraTS2021_00506,0.9654202288929556,0.3197750425495178,0.7003091376958016,0.7580522791425354,BraTS2021_00506
BraTS2021_01288,0.8153025276191128,0.6989205800145158,0.530090695704107,0.9449164765930604,BraTS2021_01288
BraTS2021_00087,0.13220018885741266,0.2776866283839213,0.11081402257872847,0.8137832164251703,BraTS2021_00087
BraTS2021_00577,0.0006269030986924592,0.6407750941316925,0.3173218124162002,0.7429029959205203,BraTS2021_00577
BraTS2021_00306,0.9005858701895463,0.3556774324598822,0.7649931138099412,0.9169751531480224,BraTS2021_00306
BraTS2021_00733,0.02040816326530612,0.25861941348018536,0.19832215556621352,0.4555555953177617,BraTS2021_00733
BraTS2021_00656,0.0,0.1855498688004988,0.07864337709712933,0.8081080404615391,BraTS2021_00656
BraTS2021_01051,0.04224148455622024,0.7042899417947596,0.6320223182539249,0.8395470408643695,BraTS2021_01051
BraTS2021_00481,0.6986301369863014,0.8821885366511976,0.8581264607415829,0.9245590037146766,BraTS2021_00481
BraTS2021_01347,0.0,0.2775023749892046,0.01739316391631322,0.7167720970036197,BraTS2021_01347
BraTS2021_00388,0.015563772835145427,0.46093555669237013,0.504461341615327,0.8968216092392861,BraTS2021_00388
BraTS2021_00089,0.7142614312425634,0.7299723756906077,0.7662782727895819,0.927491298370821,BraTS2021_00089
BraTS2021_01326,0.0,0.3925734412470024,0.28059397779666695,0.8406212347902074,BraTS2021_01326
BraTS2021_01445,0.7847729623327662,0.2588929566690345,0.5913818889226237,0.8697918058636449,BraTS2021_01445
BraTS2021_00493,0.8660496833901608,0.07455489046401617,0.5627385789927349,0.13522611066924214,BraTS2021_00493
BraTS2021_00525,0.6488294314381271,0.890118540200463,0.23168958962316896,0.9295416194085591,BraTS2021_00525
BraTS2021_01602,0.8172268220047779,0.7604715805616793,0.7916682876728317,0.943416136855214,BraTS2021_01602
BraTS2021_01429,0.0,0.25288279275484415,0.01372275822182497,0.22516242326317165,BraTS2021_01429
BraTS2021_00108,0.0,0.2662928191880369,0.07327680525164114,0.8229370563403533,BraTS2021_00108
BraTS2021_01357,0.9366630853489164,0.8281302967733982,0.7018508041703709,0.9694054054054054,BraTS2021_01357
BraTS2021_00586,0.002733612273361227,0.7216337153554632,0.5903630077787381,0.7579035431911108,BraTS2021_00586
BraTS2021_01507,0.00013962580284836637,0.1595378173530503,0.17668089032406872,0.18806628796770106,BraTS2021_01507
BraTS2021_01202,0.8569897849846417,0.8546493830648959,0.7626812131273902,0.9113473221753476,BraTS2021_01202
BraTS2021_00262,0.0,0.5066159752506616,0.34245223786886714,0.7926717716854402,BraTS2021_00262
BraTS2021_00641,0.0,0.0,0.0,0.0,BraTS2021_00641
BraTS2021_01649,0.9308005427408412,0.6643820914964954,0.39912994387805933,0.7805593240509342,BraTS2021_01649
BraTS2021_01516,0.050387596899224806,0.25985454545454545,0.049913238746555066,0.8429986376523436,BraTS2021_01516
BraTS2021_00805,0.7638483965014577,0.5341460507721383,0.11086435107044505,0.9603501544799176,BraTS2021_00805
BraTS2021_00582,0.0,0.16883146529093523,0.129621698786581,0.37160186469281026,BraTS2021_00582
BraTS2021_00309,0.6483516483516484,0.8605350960025181,0.804480192437796,0.8900450182621252,BraTS2021_00309
BraTS2021_01531,0.0871246552760103,0.0,0.02275183095209509,0.7793021292709673,BraTS2021_01531
BraTS2021_01628,0.0,0.0,0.0,0.0,BraTS2021_01628
BraTS2021_01146,0.0,0.22285611239528516,0.12756948270088683,0.9045138492583444,BraTS2021_01146
BraTS2021_00452,0.0,0.2488634697169673,0.02112264702002977,0.8402567018448635,BraTS2021_00452
BraTS2021_00104,0.6167515440459421,0.740229638373216,0.8363925356482401,0.8729103366100686,BraTS2021_00104
BraTS2021_01497,0.00027988244937126406,0.3166011490777139,0.07220833079221808,0.4381633965905436,BraTS2021_01497
BraTS2021_01190,0.07060141949943967,0.22834609246709994,0.16816232975533885,0.4890282131661442,BraTS2021_01190
BraTS2021_00003,0.4360150819970018,0.8489501312335958,0.5916544947550126,0.9394149496403639,BraTS2021_00003
BraTS2021_01654,0.18359284220311411,0.707039946031899,0.6431559123798196,0.8447563779864281,BraTS2021_01654
BraTS2021_01130,0.4709480122324159,0.539833531510107,0.832852725567175,0.704771197908516,BraTS2021_01130
BraTS2021_01053,0.0,0.5628174998486458,0.6769147451519507,0.8197054079888983,BraTS2021_01053
BraTS2021_01335,0.7187419437999485,0.8589754741355704,0.874396517609814,0.8740001649212501,BraTS2021_01335
BraTS2021_01582,0.6521284540702016,0.706879271070615,0.4009524840350687,0.9427201180521397,BraTS2021_01582
BraTS2021_01458,0.8837653746263537,0.33097156758400487,0.6071247415037653,0.9332810486807461,BraTS2021_01458
BraTS2021_00177,0.3828125,0.08188682182610726,0.37902780489165294,0.9039686234417456,BraTS2021_00177
BraTS2021_00836,0.021683673469387755,0.3554373451006468,0.7478624358730762,0.866107186701282,BraTS2021_00836
BraTS2021_01540,0.1570926143024619,0.8589872519151706,0.88817437902817,0.9362413383062956,BraTS2021_01540
BraTS2021_01569,0.0,0.30162813130279736,0.3666784333957875,0.9192220686188262,BraTS2021_01569
BraTS2021_00578,0.0,0.15143344842301276,0.4965547950288575,0.7307099213098536,BraTS2021_00578
BraTS2021_01432,0.0,0.30083986506101285,0.009544376016422725,0.4870155363148044,BraTS2021_01432
BraTS2021_01234,0.7524722349003499,0.35281455873719914,0.6712453025787223,0.7434997535805493,BraTS2021_01234
BraTS2021_00498,0.7505066666666667,0.571802890286569,0.2906783796974134,0.75791664198116,BraTS2021_00498
BraTS2021_00414,0.05167903475521862,0.19706049491140157,0.432562434533326,0.8183629356697256,BraTS2021_00414
BraTS2021_01259,0.6933426933426934,0.7894567712318287,0.7039026772632421,0.8670705322371268,BraTS2021_01259
BraTS2021_00760,0.015718983078033523,0.27371287906562614,0.10250646761949192,0.5952793759973364,BraTS2021_00760
BraTS2021_00130,0.16213572237668622,0.28246216013794784,0.3000996736711315,0.9407825472766769,BraTS2021_00130
BraTS2021_01564,0.8476968796433878,0.9369938094888546,0.7323314200587127,0.9674858204135984,BraTS2021_01564
BraTS2021_01090,0.6809633784229627,0.583987263879323,0.8181818181818182,0.7492187741715912,BraTS2021_01090
BraTS2021_01343,0.8428134556574923,0.9147834525690414,0.885828556624243,0.9747360002908086,BraTS2021_01343
BraTS2021_01580,0.0,0.2703934978689662,0.444121915820029,0.7733393177737882,BraTS2021_01580
BraTS2021_01228,0.0,0.1303815547847378,0.2377719553203,0.9115393378955102,BraTS2021_01228
BraTS2021_00556,0.32054142495909566,0.5986023652280755,0.3458984604536373,0.8242450575711493,BraTS2021_00556
BraTS2021_01083,0.7853079302050323,0.4322502062787317,0.2774555698247649,0.9446644426844585,BraTS2021_01083
BraTS2021_00545,0.03325901151988109,0.2794852384557154,0.1692246924726329,0.7427538033210699,BraTS2021_00545
BraTS2021_00211,0.9095939136448967,0.8630010490542807,0.8084511719290478,0.9324139398021768,BraTS2021_00211
BraTS2021_01651,0.0,0.0,0.0,0.0,BraTS2021_01651
BraTS2021_00154,0.49379727685325264,0.33506385629737306,0.2784441943907773,0.907795272687046,BraTS2021_00154
BraTS2021_00204,0.0,0.5742370194213238,0.44353982300884953,0.880492434321395,BraTS2021_00204
BraTS2021_01223,0.2679077795586241,0.10973303753554785,0.5297274027152105,0.8100189495165444,BraTS2021_01223
BraTS2021_01308,0.0,0.0,0.0,0.0,BraTS2021_01308
